row_isolate,col_isolate,replicate,value
KMM 191,KMM 191,1,2549550.333
KMM 191,KMM 191,2,2422653.333
KMM 191,KMM 191,3,2171394.333
KMM 191,KMM 191,4,2026498.67
KMM 191,KMM 191,5,1525029.67
KMM 191,KMM 191,6,1699917.67
KMM 191,KMM 193,1,2585784.333
KMM 191,KMM 193,2,2791586.333
KMM 191,KMM 193,3,3357561.333
KMM 191,KMM 193,4,805319.667
KMM 191,KMM 193,5,1076756.67
KMM 191,KMM 193,6,1576817.67
KMM 191,KMM 195,1,752962.3333
KMM 191,KMM 195,2,855774.3333
KMM 191,KMM 195,3,783952.3333
KMM 191,KMM 195,4,877104.667
KMM 191,KMM 195,5,850252.667
KMM 191,KMM 195,6,734087.667
KMM 191,KMM 200,1,3047782.333
KMM 191,KMM 200,2,2917364.333
KMM 191,KMM 200,3,2973137.333
KMM 191,KMM 200,4,759688.667
KMM 191,KMM 200,5,748894.667
KMM 191,KMM 200,6,725202.667
KMM 191,KMM 202,1,3387006.333
KMM 191,KMM 202,2,2260094.333
KMM 191,KMM 202,3,1854645.333
KMM 191,KMM 202,4,645889.667
KMM 191,KMM 202,5,765838.667
KMM 191,KMM 202,6,1171810.67
KMM 191,KMM 230,1,2897701.333
KMM 191,KMM 230,2,2758574.333
KMM 191,KMM 230,3,2891016.333
KMM 191,KMM 230,4,959538.667
KMM 191,KMM 230,5,1448884.67
KMM 191,KMM 230,6,1167378.67
KMM 193,KMM 193,1,402262.3333
KMM 193,KMM 193,2,1117282.333
KMM 193,KMM 193,3,328903.3333
KMM 193,KMM 193,4,393926.667
KMM 193,KMM 193,5,74320.6667
KMM 193,KMM 193,6,406370.667
KMM 193,KMM 195,1,755506.3333
KMM 193,KMM 195,2,694361.3333
KMM 193,KMM 195,3,698072.3333
KMM 193,KMM 195,4,1229302.67
KMM 193,KMM 195,5,794649.667
KMM 193,KMM 195,6,822933.667
KMM 193,KMM 200,1,503461.3333
KMM 193,KMM 200,2,410213.3333
KMM 193,KMM 200,3,352331.3333
KMM 193,KMM 200,4,134129.667
KMM 193,KMM 200,5,310805.667
KMM 193,KMM 200,6,327884.667
KMM 193,KMM 202,1,576234.3333
KMM 193,KMM 202,2,360622.3333
KMM 193,KMM 202,3,489128.3333
KMM 193,KMM 202,4,858076.667
KMM 193,KMM 202,5,74570.6667
KMM 193,KMM 202,6,1212209.67
KMM 193,KMM 230,1,2077666.333
KMM 193,KMM 230,2,1922161.333
KMM 193,KMM 230,3,2663602.333
KMM 193,KMM 230,4,657556.667
KMM 193,KMM 230,5,863796.667
KMM 193,KMM 230,6,1140210.67
KMM 195,KMM 195,1,437667.3333
KMM 195,KMM 195,2,522739.3333
KMM 195,KMM 195,3,758584.3333
KMM 195,KMM 195,4,1217564.67
KMM 195,KMM 195,5,1341570.67
KMM 195,KMM 195,6,1841319.67
KMM 195,KMM 200,1,1126151.333
KMM 195,KMM 200,2,686329.3333
KMM 195,KMM 200,3,542654.3333
KMM 195,KMM 200,4,1980828.67
KMM 195,KMM 200,5,1089078.67
KMM 195,KMM 200,6,1359016.67
KMM 195,KMM 202,1,881848.3333
KMM 195,KMM 202,2,827974.3333
KMM 195,KMM 202,3,879502.3333
KMM 195,KMM 202,4,967571.667
KMM 195,KMM 202,5,963390.667
KMM 195,KMM 202,6,1070355.67
KMM 195,KMM 230,1,799333.3333
KMM 195,KMM 230,2,831294.3333
KMM 195,KMM 230,3,850265.3333
KMM 195,KMM 230,4,798138.667
KMM 195,KMM 230,5,711458.667
KMM 195,KMM 230,6,631077.667
KMM 200,KMM 200,1,786852.3333
KMM 200,KMM 200,2,517221.3333
KMM 200,KMM 200,3,581175.3333
KMM 200,KMM 200,4,419268.667
KMM 200,KMM 200,5,-57708.333
KMM 200,KMM 200,6,108160.667
KMM 200,KMM 202,1,416634.3333
KMM 200,KMM 202,2,434008.3333
KMM 200,KMM 202,3,613263.3333
KMM 200,KMM 202,4,1582609.67
KMM 200,KMM 202,5,690250.667
KMM 200,KMM 202,6,719588.667
KMM 200,KMM 230,1,1957788.333
KMM 200,KMM 230,2,1646106.333
KMM 200,KMM 230,3,1854765.333
KMM 200,KMM 230,4,2063176.67
KMM 200,KMM 230,5,1439773.67
KMM 200,KMM 230,6,1211946.67
KMM 202,KMM 202,1,321921.3333
KMM 202,KMM 202,2,516428.3333
KMM 202,KMM 202,3,622664.3333
KMM 202,KMM 202,4,740933.667
KMM 202,KMM 202,5,838068.667
KMM 202,KMM 202,6,222205.667
KMM 202,KMM 230,1,1869475.333
KMM 202,KMM 230,2,1666502.333
KMM 202,KMM 230,3,1615020.333
KMM 202,KMM 230,4,1693726.67
KMM 202,KMM 230,5,1519481.67
KMM 202,KMM 230,6,1703460.67
KMM 230,KMM 230,1,2610804.333
KMM 230,KMM 230,2,2481406.333
KMM 230,KMM 230,3,2375028.333
KMM 230,KMM 230,4,991162.667
KMM 230,KMM 230,5,1536085.67
KMM 230,KMM 230,6,802408.667
